ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions,negative_tone_score,inverse_goldstein,negative_tone_score_scaled,conflict_share_scaled,material_conflict_share_scaled,avg_attention_scaled,inverse_goldstein_scaled,global_tension_index_0_100
GI,15,1.219724612219777,-0.17793594306049,0.4666666666666667,0.26666666666666666,0.0,0.4,-0.040000000000000036,3.2664492253888224,50,0.0,0.040000000000000036,0.0,0.4666666666666667,0.4666666666666667,0.34814753250445996,0.008131276022532458,25.792242837206516
KV,11,-1.1007131351621526,-0.63525674960297,0.36363636363636365,0.18181818181818182,0.0,0.36363636363636365,-1.0545454545454547,3.1070172641375065,29,1.1007131351621526,1.0545454545454547,0.08805705081297222,0.36363636363636365,0.31818181818181823,0.3013863828726767,0.21437000423040103,25.712632394684636
LY,77,-4.809261228811161,-4.8689138576779,0.2857142857142857,0.12987012987012986,0.012987012987012988,0.4155844155844156,0.9675324675324676,3.400994964767022,284,4.809261228811161,0.0,0.3847408983048929,0.2857142857142857,0.22727272727272727,0.3876095914417232,0.0,25.706750054672582
BM,68,-2.5090974419464738,-1.34453781512605,0.25,0.19117647058823528,0.014705882352941176,0.5294117647058824,0.03382352941176464,3.7151481536343693,285,2.5090974419464738,0.0,0.20072779535571791,0.25,0.33455882352941174,0.4797502397573483,0.0,25.300737172849562
GG,50,-3.824542252698498,-0.8301404853129,0.3,0.1,0.1,0.56,0.17999999999999994,3.662084194915575,212,3.824542252698498,0.0,0.3059633802158798,0.3,0.17500000000000002,0.4641866620767543,0.0,24.90300084585268
SI,10,-2.574472756868397,-2.67062314540059,0.1,0.1,0.0,0.6,0.8400000000000001,4.668028065730068,78,2.574472756868397,0.0,0.20595782054947176,0.1,0.17500000000000002,0.759228456050442,0.0,24.80372553199827
UV,4,-3.35668578993822,-4.85436893203884,0.5,0.0,0.0,0.0,0.1499999999999999,3.6838542861871857,20,3.35668578993822,0.0,0.2685348631950576,0.5,0.0,0.4705717964466733,0.0,24.782133192834614
US,34376,-2.3596715951961067,-2.21518987341772,0.28854433325575984,0.15598091691878055,0.008901559227367932,0.3596695368861997,0.30826157784500813,3.726618786017123,151702,2.3596715951961067,0.0,0.18877372761568853,0.28854433325575984,0.272966604607866,0.48311455863677066,0.0,24.667984482321696
LU,10,-3.200945699750465,-3.7243947858473,0.2,0.0,0.0,0.5,2.79,4.707708175115591,73,3.200945699750465,0.0,0.25607565598003723,0.2,0.0,0.7708665712553168,0.0,24.538844544707082
HU,89,-2.422390862788936,-1.94664608896298,0.2696629213483146,0.07865168539325842,0.02247191011235955,0.23595505617977527,0.6662921348314607,4.211729782688355,634,2.422390862788936,0.0,0.19379126902311486,0.2696629213483146,0.13764044943820225,0.6253968696948975,0.0,24.529830190090586
ZI,288,-2.6585906591517214,-2.865943091815785,0.24305555555555555,0.1284722222222222,0.006944444444444444,0.3541666666666667,0.9572916666666667,3.899943637776462,1342,2.6585906591517214,0.0,0.2126872527321377,0.24305555555555555,0.22482638888888887,0.5339504717398479,0.0,24.2903933783286
NP,61,-1.482572437298921,-1.38568129330254,0.26229508196721313,0.14754098360655737,0.01639344262295082,0.47540983606557374,2.0262295081967214,4.021160527727827,318,1.482572437298921,0.0,0.11860579498391369,0.26229508196721313,0.2581967213114754,0.5695031995895682,0.0,24.172015957043406
RI,39,-1.8562502055373982,-1.26582278481013,0.38461538461538464,0.07692307692307693,0.02564102564102564,0.3076923076923077,-0.8025641025641025,3.336651721221842,134,1.8562502055373982,0.8025641025641025,0.14850001644299185,0.38461538461538464,0.13461538461538464,0.368737816826421,0.16314675609311904,23.992307171866024
IN,3176,-1.8100447659175383,-1.5625,0.27581863979848864,0.12783375314861462,0.01952141057934509,0.41750629722921917,0.5359256926952141,3.9262251023060406,15941,1.8100447659175383,0.0,0.14480358127340306,0.27581863979848864,0.2237090680100756,0.5416587849649033,0.0,23.719801480937413
EG,446,-2.749305263401713,-3.52941176470588,0.2623318385650224,0.1591928251121076,0.002242152466367713,0.49551569506726456,0.11883408071748877,3.526240077032713,1729,2.749305263401713,0.0,0.21994442107213705,0.2623318385650224,0.27858744394618834,0.42434379071606804,0.0,23.70414988598832
CU,209,-4.240451247742863,-3.27455919395466,0.21052631578947367,0.08133971291866028,0.0,0.3684210526315789,1.54688995215311,3.742801412861199,904,4.240451247742863,0.0,0.33923609981942904,0.21052631578947367,0.1423444976076555,0.48786089826247664,0.0,23.5993562295807
TS,51,-2.0880206863924884,-3.93650793650794,0.19607843137254902,0.19607843137254902,0.0,0.5098039215686274,1.0549019607843138,3.6938298298859986,221,2.0880206863924884,0.0,0.16704165491139908,0.19607843137254902,0.3431372549019608,0.47349760810888625,0.0,23.595098985895905
KN,145,-2.1793684104857394,-1.91387559808612,0.27586206896551724,0.1793103448275862,0.0,0.47586206896551725,0.7827586206896552,3.4684504937345455,536,2.1793684104857394,0.0,0.17434947283885915,0.27586206896551724,0.3137931034482759,0.40739419459647747,0.0,23.427976796982595
FR,984,-1.5790837194355944,-1.527895680060365,0.27947154471544716,0.1565040650406504,0.009146341463414634,0.39227642276422764,0.5121951219512195,3.7478453366839357,4519,1.5790837194355944,0.0,0.12632669755484754,0.27947154471544716,0.2738821138211382,0.48934027338121155,0.0,23.380412589452888
GY,73,-1.9016464259812975,-2.61261261261261,0.1780821917808219,0.136986301369863,0.0,0.5753424657534246,0.8863013698630138,4.117872566444536,407,1.9016464259812975,0.0,0.1521317140785038,0.1780821917808219,0.23972602739726026,0.5978686921679235,0.0,23.35617250849019
