event_date,events,avg_tone,conflict_share,avg_attention
2024-11-05,1113,-1.1685576095330765,0.24797843665768193,3.682996386458867
2024-11-09,4,-1.45124716553288,0.0,4.738960886360481
2024-11-15,1,-1.83356840620592,0.0,2.0794415416798357
2024-11-16,1099,-2.466091762724537,0.3075523202911738,3.8901043902123167
2024-11-30,2,1.42857142857143,0.0,3.9120230054281455
2024-12-19,2,-8.25688073394495,0.5,3.737669618283368
2024-12-26,684,-2.3720148646485577,0.3201754385964912,3.7984991253466758
2024-12-27,1,-1.91304347826087,1.0,2.8903717578961645
2024-12-29,2,-4.32160804020101,0.0,5.488937726156687
2024-12-30,1067,-1.30095091360609,0.26991565135895035,3.8790788301516113
2025-01-15,5,-5.090464720458934,0.6,3.0346810889124933
2025-01-19,2,-9.033655421551956,0.5,4.2484952420493585
2025-01-23,3,-5.17618137121005,1.0,3.795787413998294
2025-01-25,1,-4.06779661016949,1.0,5.488937726156687
2025-01-26,696,-1.9459445597381555,0.2744252873563218,3.803965319053826
2025-01-29,2,0.7479418462077403,0.0,4.477336814478207
2025-01-30,1326,-2.2155991869386753,0.26621417797888386,3.6534194715792934
2025-02-07,5,-4.024542229891668,0.0,3.5682100462059276
2025-02-13,2,-8.017813518075446,0.5,5.488937726156687
2025-02-14,1182,-2.650213971960172,0.24873096446700507,3.640881703025485
2025-02-17,15,-1.2790261622222487,0.6,3.4579306924633024
2025-02-24,994,-1.6413507039302497,0.25553319919517103,3.8376332143814462
2025-03-17,17,-4.358841989354421,0.8235294117647058,3.3217406044628563
2025-03-19,16,-0.5150099778768605,0.375,3.7807031823872426
2025-03-23,8,-1.0324432689004237,0.0,3.393041074833136
2025-03-25,1,1.29449838187703,0.0,5.488937726156687
2025-03-26,1787,-2.216201297779848,0.2574146614437605,3.732187974231066
2025-03-29,6,-4.375235671191551,0.0,3.632246441848803
2025-03-30,778,-1.9835198426183418,0.2570694087403599,3.673571256774146
2025-04-04,7,-11.1111111111111,1.0,3.133407099998103
2025-04-05,674,-2.5393553686777173,0.34718100890207715,3.7274760861569325
2025-04-09,5,-2.5470736819748323,0.4,3.7725402957123237
2025-04-16,1042,-1.924459740881361,0.23320537428023033,3.9209867788188446
2025-04-30,5,-2.887750270562772,0.0,2.8903717578961645
2025-05-12,9,-2.008033129386312,0.1111111111111111,3.6218635687451575
2025-05-13,12,-4.313368290839598,0.3333333333333333,3.5213154082692513
2025-05-18,7,-0.8330930997851625,0.42857142857142855,4.0376660300209215
2025-05-19,17,-2.8699449415687996,0.11764705882352941,3.82347733558206
2025-05-23,6,-8.750362880383204,1.0,3.888949182414162
2025-05-25,7,3.8261738261738194,0.2857142857142857,4.042165560583247
2025-05-26,887,-1.963648091650979,0.2649379932356257,3.862988892510418
2025-05-29,2,-2.49457700650759,1.0,4.2484952420493585
2025-05-30,1232,-1.503986712067626,0.2305194805194805,3.74534327658875
2025-06-05,39,-1.212252262584199,0.3333333333333333,3.9186433911598213
2025-06-09,5,-3.9465695639223717,0.6,4.649520815145748
2025-06-11,3,-3.08943089430895,0.0,2.349751613751945
2025-06-12,3383,-2.0440295912146826,0.2651492757907183,3.717508603492318
2025-06-23,8,-1.877499961525905,0.125,4.943175095081973
2025-07-02,11,-4.498129261796641,0.6363636363636364,3.8138897398715574
2025-07-09,1418,-1.968601162350796,0.27080394922425954,3.718650679787677
2025-07-16,25,0.5981724516957914,0.16,3.0696343833805155
2025-07-22,4,-1.390674638063415,0.5,3.592693507790208
2025-07-23,1549,-1.7974543320981087,0.2207876049063912,3.8639644105254547
2025-07-27,1,-2.09205020920502,1.0,4.852030263919617
2025-07-31,4,-3.4590472798170326,0.25,3.8633268324238212
2025-08-06,11,-0.45475250531430544,0.18181818181818182,3.116492900708236
2025-08-17,18,-1.714264009060559,0.1111111111111111,4.0096945584325265
2025-08-19,23,-1.7864176587853589,0.13043478260869565,3.263620784750134
2025-08-23,5,-1.0526315789473701,0.0,4.677377788368047
2025-08-25,3,-6.652914290336934,0.6666666666666666,4.321425654241141
2025-08-26,1949,-2.319212260718958,0.28681375064135456,3.8062889554284407
2025-08-29,14,-1.6830153962087187,0.07142857142857142,3.0648279621267838
2025-08-30,746,-2.756407518245251,0.34048257372654156,3.7825887402681464
2025-09-04,1,-1.51668351870576,0.0,2.8903717578961645
2025-09-05,947,-2.3272430813218183,0.2787750791974657,3.8440158348019002
2025-09-09,30,-2.2185953759267947,0.26666666666666666,3.6454229750626865
2025-09-15,7,-2.04233448199871,0.0,3.384284105442091
2025-09-16,929,-1.6721017861757124,0.27771797631862216,3.8997000598522757
2025-09-30,8,1.56521739130435,0.0,2.8314802400679726
2025-10-06,13,-0.8968007851522756,0.3076923076923077,3.4030186056154266
2025-10-19,10,-2.847741418047772,0.2,3.3663267042331997
2025-10-23,27,-1.0701598831797992,0.0,3.0131368068427373
2025-10-25,1,-0.68493150684931,1.0,3.465735902799726
2025-10-26,618,-1.9184445267003396,0.26537216828478966,3.6424478115096584
2025-10-29,10,-1.57522569987578,0.0,3.4676213660386255
2025-10-30,1420,-2.5110502465122218,0.2676056338028169,3.719099799046762
2025-11-04,1,-7.06860706860707,0.0,5.488937726156687
2025-11-05,1160,-1.767915635396689,0.25948275862068965,3.7777443399879367
2025-11-15,3,-3.85487528344671,0.0,3.4227102220413457
2025-11-16,463,-1.3423299796821,0.2613390928725702,3.789534817020722
2025-11-26,1,-0.49180327868853,1.0,2.0794415416798357
2025-11-30,9,1.3394783781387443,0.2222222222222222,3.7496995930325006
2025-12-23,5,0.20255457921913606,0.0,3.5341469228698044
2025-12-26,328,-1.529162062228194,0.25914634146341464,3.86669765649023
2025-12-27,3,-0.4192872117400401,0.3333333333333333,5.488937726156688
2025-12-30,1062,-3.3159880440689053,0.3531073446327684,3.6926637254999104
2025-12-31,3,2.16049382716049,0.3333333333333333,4.680756654729599
2026-01-15,1,-4.83416635813897,1.0,5.894402834264851
2026-01-19,47,2.98013245033112,0.0,2.713885792689538
2026-01-23,18,-2.508713883459164,0.3888888888888889,4.316909041350665
2026-01-25,16,1.7065520036510013,0.1875,3.943823987921517
2026-01-26,686,-1.7854197804405296,0.2594752186588921,3.932403799907237
2026-01-30,1207,-2.935212368269231,0.2874896437448219,3.7823618515489374
2026-02-14,468,-3.3468559174832744,0.3418803418803419,3.750538596006322
2026-02-17,17,-0.9794413215221127,0.17647058823529413,4.105582661793633
2026-02-23,4,-3.487447391602235,0.25,3.886586840241268
2026-02-24,1208,-2.79252284635074,0.28228476821192056,3.8768350782779644
2026-03-17,6,-3.3602074428707263,0.3333333333333333,3.7463031944274205
2026-03-19,5,-2.19330995825785,0.2,3.9780117728116826
2026-03-23,15,0.15016367256864468,0.3333333333333333,3.6753819311988862
2026-03-25,6,-2.4034601361495267,0.5,4.337516170465707
2026-03-26,1790,-2.8495100308708676,0.33128491620111733,3.878877870180693
