ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions
RQ,21,-1.1021868610399157,-0.591715976331358,0.42857142857142855,0.23809523809523808,0.0,0.23809523809523808,-0.8714285714285713,3.988039455347078,112
RS,2050,-3.5016038888132246,-3.33333333333333,0.36634146341463414,0.19463414634146342,0.005853658536585366,0.35317073170731705,-0.30248780487804877,3.4833027228131734,7795
RW,103,-1.3013619998493928,-1.73913043478261,0.27184466019417475,0.0970873786407767,0.0,0.36893203883495146,0.8233009708737864,3.9102773229113694,498
SA,287,-0.40214898447032915,-0.48678720445063,0.20905923344947736,0.11149825783972125,0.003484320557491289,0.5435540069686411,1.1993031358885018,3.4952878240176877,1078
SF,556,-3.569336035656067,-3.8020706741843853,0.31654676258992803,0.17625899280575538,0.008992805755395683,0.38848920863309355,0.12050359712230216,3.8336721878923714,2567
SG,53,-1.8821192222560408,-0.20876826722338,0.18867924528301888,0.07547169811320754,0.0,0.5660377358490566,2.6358490566037736,3.5057669925196073,198
SL,38,2.8648615333279466,0.707964601769909,0.3157894736842105,0.05263157894736842,0.0,0.47368421052631576,1.8789473684210527,4.068238237674723,220
SN,194,0.6296732356258171,1.28205128205129,0.0979381443298969,0.05154639175257732,0.010309278350515464,0.6391752577319587,2.3056701030927838,4.0778062805743165,1055
SO,91,-3.201282242720689,-2.99032541776605,0.43956043956043955,0.24175824175824176,0.01098901098901099,0.23076923076923078,-0.9373626373626374,3.802265412330741,417
SP,353,-0.9988146013477713,-0.49928673323823,0.2776203966005666,0.1501416430594901,0.014164305949008499,0.39660056657223797,0.4031161473087819,3.8001823097945118,1606
SU,206,-4.830854769048678,-4.95689655172413,0.4320388349514563,0.3058252427184466,0.0048543689320388345,0.18932038834951456,-1.3466019417475728,3.63691847237513,840
SW,142,-0.6032398310163328,-0.47058823529411,0.2112676056338028,0.1056338028169014,0.0,0.43661971830985913,1.9133802816901408,3.6063993129918557,567
SY,360,-4.079887860529417,-4.56849496651064,0.33055555555555555,0.21944444444444444,0.008333333333333333,0.44722222222222224,-0.09472222222222225,3.5902579448852077,1464
SZ,328,-0.7144939142633377,-0.72833211944646,0.21036585365853658,0.0701219512195122,0.0,0.4573170731707317,1.3475609756097562,3.751346280906236,1400
TD,59,-1.87943052085643,-0.936768149882908,0.2542372881355932,0.05084745762711865,0.0,0.4406779661016949,1.1864406779661016,3.828800334600918,265
TH,300,-0.7327161245745943,0.21413276231264,0.16333333333333333,0.08666666666666667,0.0033333333333333335,0.49666666666666665,1.4126666666666667,3.930767602288763,1578
TN,34,-1.888384857412348,-3.63454170350722,0.08823529411764706,0.0,0.0,0.47058823529411764,2.0470588235294116,3.4059013227305304,116
TS,52,-2.024241418798378,-3.93650793650794,0.21153846153846154,0.21153846153846154,0.0,0.5,0.9384615384615385,3.728351135583512,231
TU,420,-2.174806636479093,-1.95214105793451,0.26904761904761904,0.1261904761904762,0.002380952380952381,0.45476190476190476,0.5378571428571429,3.500881025885288,1596
TW,198,-1.1806549448961918,-1.80327868852459,0.20707070707070707,0.1111111111111111,0.005050505050505051,0.4595959595959596,0.756060606060606,3.820534207246339,950
TX,36,4.459469678109351,4.16666666666667,0.027777777777777776,0.027777777777777776,0.0,0.8611111111111112,4.019444444444444,3.9872457369598826,180
TZ,56,-1.8717257050839375,-1.24577282673563,0.23214285714285715,0.17857142857142858,0.0,0.3392857142857143,0.29464285714285715,3.9711877145272276,308
UG,129,-2.568404951144939,-2.66836086404066,0.13953488372093023,0.046511627906976744,0.0,0.5193798449612403,1.7387596899224804,3.750016315174707,577
UK,3871,-1.764441560290063,-1.79028132992327,0.2510979075174374,0.1242572978558512,0.008266597778351847,0.40764660294497546,0.6744252131232239,3.81817531984713,18930
UP,1690,-3.2645097795205005,-3.15664085765337,0.3242603550295858,0.1863905325443787,0.007100591715976331,0.3485207100591716,-0.06331360946745562,3.436392527880959,6268
US,34158,-2.3683503173015934,-2.20994475138122,0.28742900638210667,0.1556882721470812,0.008811991334387259,0.36132092042859654,0.31683061069149243,3.723876136692131,150251
UY,32,1.2964572917922075,1.804925566802905,0.09375,0.0625,0.0,0.5625,1.475,3.9369959630996103,163
VE,250,-3.760505597943487,-3.88314926968293,0.332,0.14,0.04,0.396,0.644,3.55092669131614,979
VM,318,1.3430250709936022,2.157911403539635,0.14150943396226415,0.0660377358490566,0.0,0.5283018867924528,2.338050314465409,3.626055726924798,1369
WA,23,2.3933421763218865,4.25321463897132,0.08695652173913043,0.08695652173913043,0.0,0.43478260869565216,2.278260869565217,4.302503514398697,138
WE,248,-7.185768616003079,-6.8261937441306095,0.6733870967741935,0.5362903225806451,0.04435483870967742,0.16129032258064516,-4.906854838709678,2.9250640512443598,618
WS,45,0.38342904385221704,-1.88679245283019,0.1111111111111111,0.06666666666666667,0.0,0.5555555555555556,0.5044444444444445,3.737963865872193,209
YM,145,-3.8318026248383217,-4.38356164383561,0.4413793103448276,0.2413793103448276,0.0,0.31724137931034485,-1.8875862068965517,3.393635041569881,518
ZA,66,1.294610726963953,1.81104738907335,0.19696969696969696,0.06060606060606061,0.015151515151515152,0.5757575757575758,1.6409090909090909,3.9770041018312345,324
ZI,291,-2.6732400495496176,-3.26086956521739,0.24742268041237114,0.13058419243986255,0.006872852233676976,0.35051546391752575,0.89553264604811,3.809180051690503,1288
